1300864400,00000220,false,0,8,D0,E3,88,9C,03,F9,8F,EB
1300874400,00000220,false,0,8,D0,03,89,A0,03,FA,8F,F1
1300884200,00000220,false,0,8,D0,63,89,9C,03,02,90,04
1300894400,00000220,false,0,8,D1,23,89,A0,03,04,90,1D
1300904400,00000220,false,0,8,D0,A3,88,A0,03,04,90,2B
1300914200,00000220,false,0,8,D3,A3,88,A0,03,03,90,3D
1300924400,00000220,false,0,8,D3,A3,88,A0,03,04,90,4C
1300934300,00000220,false,0,8,D1,E3,88,9C,03,05,90,59
1300944300,00000220,false,0,8,D3,E3,88,98,03,07,90,69
1300954100,00000220,false,0,8,D1,A3,88,9C,03,03,90,77
1300964100,00000220,false,0,8,CD,83,88,A0,03,01,90,85
1300974300,00000220,false,0,8,CE,A3,88,9C,03,02,90,93
1300984300,00000220,false,0,8,CE,E3,88,A0,03,00,90,A5
1300994300,00000220,false,0,8,CE,03,89,A0,03,03,90,B9
1301004300,00000220,false,0,8,CF,E3,88,A0,03,FE,8F,C3
1301014200,00000220,false,0,8,CF,C3,88,A0,03,FC,8F,D1
1301024200,00000220,false,0,8,CF,C3,88,9C,03,05,90,E7
1301034200,00000220,false,0,8,CF,A3,88,9C,03,09,90,FB
1301044200,00000220,false,0,8,CF,A3,88,A0,03,03,90,09
1301054200,00000220,false,0,8,D0,83,88,A0,03,FC,8F,10
1301064200,00000220,false,0,8,D1,83,88,9C,03,FE,8F,21
1301074200,00000220,false,0,8,D0,C3,88,A0,03,FF,8F,35
1301084200,00000220,false,0,8,CF,C3,88,9C,03,F9,8F,48
1301094200,00000220,false,0,8,CF,C3,88,9C,03,FB,8F,5A
1301104100,00000220,false,0,8,CE,03,89,9C,03,04,90,64
1301114400,00000220,false,0,8,CF,E3,88,A0,03,04,90,78
1301124100,00000220,false,0,8,D1,C3,88,A0,03,04,90,8A
1301134100,00000220,false,0,8,D1,A3,88,A0,03,02,90,98
1301144100,00000220,false,0,8,D0,A3,88,A0,03,02,90,A9
1301154100,00000220,false,0,8,D0,A3,88,A0,03,01,90,B6
1301164100,00000220,false,0,8,D3,A3,88,A0,03,FB,8F,C2
1301174000,00000220,false,0,8,D3,E3,88,A0,03,FD,8F,D4
1301183800,00000220,false,0,8,D0,C3,88,A0,03,01,90,E6
1301194000,00000220,false,0,8,CF,A3,88,A0,03,01,90,F7
1301204000,00000220,false,0,8,D0,A3,88,A0,03,08,90,0F
1301214000,00000220,false,0,8,D0,E3,88,A0,03,07,90,1C
1301224000,00000220,false,0,8,D0,E3,88,A4,03,FC,8F,24
1301234000,00000220,false,0,8,D1,C3,88,A0,03,F5,8F,3A
1301244000,00000220,false,0,8,D0,C3,88,A0,03,FA,8F,4E
1301253900,00000220,false,0,8,CE,83,88,9C,03,02,90,53
1301264000,00000220,false,0,8,CD,E3,88,98,03,00,90,6A
1301273900,00000220,false,0,8,CF,03,89,9C,03,05,90,76
1301283900,00000220,false,0,8,D1,03,89,A0,03,06,90,8F
1301293900,00000220,false,0,8,D0,E3,88,A0,03,02,90,99
1301303900,00000220,false,0,8,CD,C3,88,98,03,02,90,AC
1301314200,00000220,false,0,8,CE,C3,88,98,03,FF,8F,BB
1301323900,00000220,false,0,8,CF,E3,88,9C,03,F8,8F,C9
1301333900,00000220,false,0,8,D2,E3,88,A0,03,F9,8F,D1
1301343900,00000220,false,0,8,D2,E3,88,9C,03,FB,8F,EF
1301353800,00000220,false,0,8,D1,E3,88,9C,03,F8,8F,FB
1301363800,00000220,false,0,8,D2,C3,88,9C,03,FA,8F,0C
1301373800,00000220,false,0,8,D5,A3,88,A0,03,F9,8F,12
1301383800,00000220,false,0,8,D4,83,88,A0,03,F8,8F,20
1301393800,00000220,false,0,8,D2,C3,88,9C,03,FE,8F,30
1301403800,00000220,false,0,8,D1,23,89,9C,03,05,90,48
1301413700,00000220,false,0,8,D0,43,89,9C,03,04,90,56
1301423700,00000220,false,0,8,CF,E3,88,9C,03,02,90,62
1301433700,00000220,false,0,8,CF,E3,88,98,03,FF,8F,7A
1301443700,00000220,false,0,8,CE,E3,88,A0,03,FF,8F,83
1301453700,00000220,false,0,8,CF,C3,88,A0,03,02,90,96
1301463700,00000220,false,0,8,D0,A3,88,A0,03,FD,8F,A3
1301473700,00000220,false,0,8,D1,E3,88,A0,03,F9,8F,BE
1301483700,00000220,false,0,8,D1,23,89,A0,03,FE,8F,C4
1301493600,00000220,false,0,8,D2,23,89,9C,03,07,90,DD
1301503700,00000220,false,0,8,D3,23,89,A0,03,09,90,E2
1301513700,00000220,false,0,8,D2,23,89,A0,03,0A,90,F2
1301523600,00000220,false,0,8,CE,C3,88,A0,03,0D,90,00
1301533600,00000220,false,0,8,CC,A3,88,9C,03,10,90,1F
1301543600,00000220,false,0,8,CE,C3,88,A0,03,09,90,2C
1301553300,00000220,false,0,8,D0,83,88,A0,03,FF,8F,35
1301563600,00000220,false,0,8,D0,83,88,9C,03,00,90,43
1301573600,00000220,false,0,8,D0,03,89,A0,03,05,90,5D
1301583600,00000220,false,0,8,D0,03,89,A0,03,04,90,6A
1301593500,00000220,false,0,8,CF,A3,88,A0,03,06,90,7A
1301603500,00000220,false,0,8,D0,63,88,9C,03,08,90,8B
1301613500,00000220,false,0,8,CF,A3,88,A4,03,05,90,9F
1301623500,00000220,false,0,8,CF,C3,88,A0,03,01,90,A7
1301633500,00000220,false,0,8,CF,A3,88,9C,03,00,90,B0
1301643500,00000220,false,0,8,D0,63,88,A0,03,01,90,C6
1301653500,00000220,false,0,8,D1,83,88,A0,03,01,90,D9
1301663500,00000220,false,0,8,D0,A3,88,A0,03,02,90,E9
1301673400,00000220,false,0,8,D0,A3,88,9C,03,06,90,F9
1301683000,00000220,false,0,8,CF,A3,88,9C,03,05,90,07
1301693400,00000220,false,0,8,CF,A3,88,A0,03,07,90,1D
1301703200,00000220,false,0,8,CF,C3,88,A0,03,0A,90,2E
1301713500,00000220,false,0,8,CF,E3,88,A0,03,04,90,38
1301723400,00000220,false,0,8,D0,E3,88,A0,03,01,90,46
1301733400,00000220,false,0,8,D0,E3,88,A0,03,FF,8F,55
1301743400,00000220,false,0,8,CF,63,89,A0,03,04,90,6B
